phrase, correct, wrong1, wrong2, wrong3
I won't tell anyone., Я никому не скажу., Я всем расскажу., Я скажу ему., Я скажу ей.
It is a secret., Это секрет., Это не секрет., Это правда., Это ложь.
Keep it secret., Держи это в секрете., Расскажи всем., Никому не говори., Забудь это.
Don't tell anyone., Никому не говори., Расскажи всем., Скажи ему., Скажи ей.
This is between us., Это между нами., Это не между нами., Это для всех., Это только для тебя.
Can you keep a secret?, Ты умеешь хранить секреты?, Ты расскажешь?, Ты обещаешь?, Ты веришь?
I won't say a word., Я не скажу ни слова., Я скажу все., Я расскажу., Я промолчу.
Mum's the word., Тихо как мыши.,Громко., Шумно., Тише.
Let's keep it quiet., Давай сохраним это в тайне., Давай расскажем всем., Давай обсудим., Давай подумаем.
I have to go., Мне нужно идти., Я могу остаться., Я хочу остаться., Я должен остаться.
It is time to leave., Пора уходить., Пора приходить., Пора начинать., Пора заканчивать.
I must be going., Я должен идти., Я должен остаться., Я должен прийти., Я должен начать.
See you soon!, Скоро увидимся!, Увидимся позже!, Увидимся завтра!, До свидания!
Take care of yourself., Береги себя., Береги его., Береги ее., Береги их.
Have a safe trip., Счастливого пути., Хорошего дня., Хорошего вечера., Хороших выходных.
Bon voyage!, Счастливого пути!, Хорошего дня!, Хорошего вечера!, Хороших выходных!
I will miss you., Я буду скучать по тебе., Я не буду скучать по тебе., Я буду помнить тебя., Я забуду тебя.
Don't forget me., Не забывай меня., Забудь меня., Помни меня., Люби меня.
Write to me., Пиши мне., Звони мне., Приходи ко мне., Жди меня.
Call me., Позвони мне., Напиши мне., Приходи ко мне., Жди меня.
Keep in touch., Будь на связи., Не будь на связи., Забудь меня., Помни меня.
I will call you., Я позвоню тебе., Я напишу тебе., Я приду к тебе., Я подожду тебя.
Text me., Напиши мне., Позвони мне., Приходи ко мне., Жди меня.
Send me a message., Отправь мне сообщение., Позвони мне., Напиши мне., Приходи ко мне.
Let's stay in touch., Давай останемся на связи., Давай не будем на связи., Давай забудем друг друга., Давай помнить друг друга.
I'll be in touch., Я буду на связи., Я не буду на связи., Я позвоню., Я напишу.
Don't be a stranger., Не пропадай., Пропадай., Забудь меня., Помни меня.
Come back soon., Возвращайся скоро., Не возвращайся., Уходи., Приходи.
I hope to see you soon., Надеюсь скоро увидеть тебя., Надеюсь не увидеть тебя., Надеюсь забыть тебя., Надеюсь помнить тебя.
Until we meet again., До новой встречи., До свидания., Прощай., Пока.
Farewell., Прощай., Привет., Пока., До свидания.
Goodbye forever., Прощай навсегда., До скорой встречи., До завтра., До свидания.
I will never forget you., Я никогда тебя не забуду., Я всегда тебя помню., Я скоро забуду тебя., Я уже забыл тебя.
You will be missed., По тебе будут скучать., По тебе не будут скучать., Тебя будут помнить., Тебя забудут.
We will remember you., Мы будем помнить тебя., Мы забудем тебя., Мы будем скучать по тебе., Мы не будем скучать по тебе.
This is not goodbye., Это не прощание., Это прощание., Это встреча., Это разлука.
It is time to say goodbye., Пора прощаться., Пора встречаться., Пора знакомиться., Пора общаться.
I hate goodbyes., Я ненавижу прощания., Я люблю прощания., Я люблю встречи., Я ненавижу встречи.
Let's not say goodbye., Давай не будем прощаться., Давай попрощаемся., Давай встретимся., Давай познакомимся.
See you around!, Увидимся!, До свидания!, Пока!, Привет!
Catch you later!, Увидимся позже!, Увидимся завтра!, До свидания!, Пока!
I'm out of here!, Я сваливаю!, Я остаюсь!, Я прихожу!, Я начинаю!
I'm off!, Я пошел!, Я пришел!, Я остался!, Я начал!
Talk to you soon!, Скоро поговорим!, Поговорим позже!, Поговорим завтра!, До свидания!
Have a good one!, Хорошего дня!, Хорошего вечера!, Хороших выходных!, Счастливо!
All the best!, Всего наилучшего!, Всего хорошего!, Удачи!, Счастливо!
Best wishes!, Наилучшие пожелания!, Хорошие пожелания!, Добрые пожелания!, Счастливые пожелания!
Good luck with everything!, Удачи во всем!, Удачи в работе!, Удачи в учебе!, Удачи в жизни!
I wish you well!, Желаю тебе всего хорошего!, Желаю тебе зла!, Желаю тебе успехов!, Желаю тебе счастья!
Take care and be well!, Береги себя и будь здоров!, Береги себя и будь счастлив!, Береги себя и будь успешен!, Береги себя и будь богат!
Until next time!, До следующего раза!, До завтра!, До скорого!, До встречи!
So long!, Пока!, До свидания!, Привет!, Здравствуй!
Adieu!, Прощай!, Привет!, Пока!, До свидания!
Cheers!, Пока! (неформ.), За здоровье!, Привет!, До свидания!
Toodle-oo!, Пока! (разг.), Привет!, До свидания!, Здравствуй!
Ciao!, Чао! (итал.), Пока!, Привет!, До свидания!
Auf Wiedersehen!, До свидания! (нем.), Привет!, Пока!, Здравствуй!
Arrivederci!, До свидания! (итал.), Привет!, Пока!, Здравствуй!
Sayonara!, Саёнара! (яп.), До свидания!, Привет!, Пока!
Au revoir!, До свидания! (фр.), Привет!, Пока!, Здравствуй!
Hasta la vista!, До свидания! (исп.), Привет!, Пока!, Здравствуй!
До свидания!, Goodbye!, Hello!, Hi!, See you!
Пока!, Bye!, Hello!, Hi!, Goodbye!
Удачи!, Good luck!, Congratulations!, Hello!, Goodbye!
Счастливо!, All the best!, Good luck!, Hello!, Goodbye!
Береги себя!, Take care!, Be careful!, Hello!, Goodbye!
До скорого!, See you soon!, See you later!, Hello!, Goodbye!
Счастливого пути!, Have a safe trip!, Good luck!, Hello!, Goodbye!
Прощай!, Farewell!, Hello!, Goodbye!, See you!
Всего доброго!, All the best!, Good luck!, Hello!, Goodbye!
До встречи!, Until we meet again!, See you!, Hello!, Goodbye!
